NVDA
  2024-11: mean_close=142.462000, n=20
  2024-12: mean_close=137.177619, n=21
  2025-01: mean_close=136.593158, n=19
  2025-02: mean_close=130.314737, n=19
  2025-03: mean_close=114.933500, n=20
  2025-04: mean_close=105.001500, n=20
  2025-05: mean_close=127.281905, n=21
  2025-06: mean_close=145.671500, n=20
  2025-07: mean_close=168.041727, n=22
  2025-08: mean_close=179.394286, n=21
  2025-09: mean_close=175.729524, n=21
  2025-10: mean_close=188.243043, n=23
  2025-11: mean_close=187.973158, n=19
  2025-12: mean_close=182.334545, n=22
  2026-01: mean_close=186.722000, n=20

MSFT
  2024-11: mean_close=414.954500, n=20
  2024-12: mean_close=436.008571, n=21
  2025-01: mean_close=425.708421, n=19
  2025-02: mean_close=404.996316, n=19
  2025-03: mean_close=385.080000, n=21
  2025-04: mean_close=375.048500, n=20
  2025-05: mean_close=447.161000, n=20
  2025-06: mean_close=476.809500, n=20
  2025-07: mean_close=504.552727, n=22
  2025-08: mean_close=514.869524, n=21
  2025-09: mean_close=507.042857, n=21
  2025-10: mean_close=520.293043, n=23
  2025-11: mean_close=496.176316, n=19
  2025-12: mean_close=483.863636, n=22
  2026-01: mean_close=466.705789, n=19

TSMC
  2024-11: mean_close=187.284600, n=20
  2024-12: mean_close=196.696448, n=21
  2025-01: mean_close=208.264516, n=19
  2025-02: mean_close=197.397147, n=19
  2025-03: mean_close=172.430771, n=21
  2025-04: mean_close=154.890284, n=19
  2025-05: mean_close=185.825171, n=21
  2025-06: mean_close=210.866500, n=20
  2025-07: mean_close=235.094236, n=22
  2025-08: mean_close=235.641552, n=21
  2025-09: mean_close=259.674833, n=21
  2025-10: mean_close=295.755500, n=22
  2025-11: mean_close=286.604184, n=19
  2025-12: mean_close=295.062000, n=22
  2026-01: mean_close=330.136000, n=20

GOOGL
  2024-11: mean_close=172.547000, n=20
  2024-12: mean_close=185.899048, n=21
  2025-01: mean_close=194.506000, n=20
  2025-02: mean_close=183.101111, n=18
  2025-03: mean_close=164.683333, n=21
  2025-04: mean_close=153.720500, n=20
  2025-05: mean_close=164.399500, n=20
  2025-06: mean_close=172.086500, n=20
  2025-07: mean_close=184.513636, n=22
  2025-08: mean_close=201.670476, n=21
  2025-09: mean_close=242.884500, n=20
  2025-10: mean_close=253.960435, n=23
  2025-11: mean_close=291.292222, n=18
  2025-12: mean_close=312.462273, n=22
  2026-01: mean_close=328.869500, n=20

AMZN
  2024-11: mean_close=204.505000, n=20
  2024-12: mean_close=224.100952, n=21
  2025-01: mean_close=228.016000, n=20
  2025-02: mean_close=225.848947, n=19
  2025-03: mean_close=198.509048, n=21
  2025-04: mean_close=180.841053, n=19
  2025-05: mean_close=199.733000, n=20
  2025-06: mean_close=213.018500, n=20
  2025-07: mean_close=226.295909, n=22
  2025-08: mean_close=225.167000, n=20
  2025-09: mean_close=228.089524, n=21
  2025-10: mean_close=221.147273, n=22
  2025-11: mean_close=236.274211, n=19
  2025-12: mean_close=229.261364, n=22
  2026-01: mean_close=239.084500, n=20

AAPL
  2024-11: mean_close=226.643000, n=20
  2024-12: mean_close=248.292857, n=21
  2025-01: mean_close=233.557000, n=20
  2025-02: mean_close=237.667895, n=19
  2025-03: mean_close=221.922857, n=21
  2025-04: mean_close=201.133333, n=18
  2025-05: mean_close=202.994000, n=20
  2025-06: mean_close=200.137000, n=20
  2025-07: mean_close=210.760909, n=22
  2025-08: mean_close=224.312857, n=21
  2025-09: mean_close=242.226190, n=21
  2025-10: mean_close=258.035217, n=23
  2025-11: mean_close=271.587895, n=19
  2025-12: mean_close=276.306364, n=22
  2026-01: mean_close=257.649500, n=20

ASML
  2024-11: mean_close=665.730300, n=20
  2024-12: mean_close=707.059014, n=21
  2025-01: mean_close=728.269300, n=20
  2025-02: mean_close=733.731989, n=19
  2025-03: mean_close=705.298143, n=21
  2025-04: mean_close=645.647050, n=20
  2025-05: mean_close=726.356333, n=21
  2025-06: mean_close=770.879000, n=20
  2025-07: mean_close=755.153848, n=21
  2025-08: mean_close=733.936076, n=21
  2025-09: mean_close=864.514648, n=21
