symbol,pred_daily_return,pred_7d_cum_return
GOOGL,0.008356494450332016,0.05998250765540325
AVGO,0.004809712954250245,0.03415770384209482
AAPL,0.004094369549879514,0.02901504012214562
AMZN,0.0032577777325289623,0.023028533639626536
ASML,0.0015689946790337418,0.01103479478213254
SPY,0.0011693202510512201,0.008214011288486311
AU0,-0.00027346652677379493,-0.001912695940236353
NVDA,-0.000570034060725914,-0.003983421188865743
TSMC,-0.0008080939815630628,-0.005642962991917355
MSFT,-0.0011557042484643656,-0.008061935005013288
META,-0.002687033879902771,-0.018658291192850562
ORCL,-0.014100305452133973,-0.09462369452608954
